PROBEID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg00952977					NaN		0	0.840628887595968	0.183021098088789	0.365814489936286	0.15	6.47026089893276E-02	0.428171840782804	0.686952981884795	7.03777170766277E-03
cg01215511					NaN		0	0.770737732981134	7.16098545048523E-02	0.341940885887679	0.136363636363636	2.17268907187947E-02	0.605885091878722	0.578703703703704	6.40031154185479E-02
cg02732193					NaN		0	0.78746300033602	0.147161528341507	0.372823139872526	4.54545454545455E-02	0.050729634302794	0.568026930659541	0.447180948503969	5.58063356380507E-03
cg04915494					NaN		0	0.734150485114361	0.218064445164475	0.349051265586942	4.54545454545455E-02	5.48599020339817E-02	0.552892097997708	0.447180948503969	3.49406240050201E-02
cg05185519					NaN		0.124668572711698	0.785315163446785	0.116509564850109	0.365753062995988	0	4.58510772193957E-02	0.49465461125468	0.39437037037037	0.011619861695873
cg06812612					NaN		0.205820475607524	0.736150638842275	0.252423293035972	0.323010756080831	0.1	0.111411851938768	0.515465955997127	0.512	1.69348732007011E-02
cg07474076					NaN		0.338250492287629	0.87719109693325	0.338099361658834	0.442993292239682	0.210526315789474	0.126192731782574	0.473728085403279	0.512	1.14563050808678E-02
cg08534175					NaN		0.183133921865322	0.743001905942059	0.266346519171199	0.306872909861158	0.142857142857143	6.40635109429446E-02	0.585237431948411	0.702331961591221	8.28581495419884E-02
cg08690664					NaN		0.263041068287197	0.757420224926479	0.236942618884267	0.382720223621717	0	4.04799487003777E-02	0.612494610668756	0.536376953125	0.2787056964016
cg26906639					NaN		0	0.657069295634145	0.147589946748051	0.336780944690101	0.136363636363636	0.01968526750581	0.468504957355574	0.578703703703704	4.40625596711878E-04
