probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg23530707	1.83469372140635e-07	3.40759511721038e-08	7.27956278259882e-08	0.0350113483854203	0.115485577098987	337	0.124235666132367	0.714319703520497	0.154535180000313	0.0642889967939255	0.238297872340426	0.488015382019896	0.591354475770216	0.521909405081003	0.0444084921194795
cg13080606	2.11320037943445e-07	4.39097625741155e-08	1.4898073501832e-06	0.272661973887404	-0.150272006957565	337	0.158031988126275	0.695375411892797	0.0607853489710639	0.0580661341772858	0.215767634854772	0.381158973877369	0.560650969771022	0.453057803835547	0.0365612706697795
cg14538249	-4.19145939545662e-07	8.75761583358679e-08	1.70075708209561e-06	0.272661973887404	0.0991731946505698	339	0.044436153973541	0.657531476574912	0.0253594711665829	0.0576769701422092	0.200772200772201	0.379553734384085	0.688756333292237	0.508402823503505	0.0323637321875481
cg12657014	-2.56061161812258e-07	5.58643844563462e-08	4.56992387369788e-06	0.549480791687623	0.0949486014976823	340	0.131761552317975	0.6800320411304	0.0959283175340664	0.0512185751177803	0.206896551724138	0.414572988089051	0.589851214207259	0.49205423531127	0.0327442418240575
cg07379740	2.56497831939889e-07	5.72393038356232e-08	7.42423594615761e-06	0.570559456150473	0.137966955248242	337	0.175389002886973	0.689326253541944	0.0517642325627779	0.0555503666953994	0.204255319148936	0.361114952004398	0.476035002588456	0.484366028016305	0.0748869040993157
cg02899219	2.8489535779649e-07	6.37849051756937e-08	7.95092031515433e-06	0.570559456150473	-0.251554113369005	338	0.258465100302304	0.760561122953942	0.159521248716078	0.0575874075858274	0.168949771689498	0.414972392455134	0.502495912292869	0.41460145465656	0.00921193838056918
cg09135347	1.7677618282206e-07	4.01767360544456e-08	1.08268955571322e-05	0.570559456150473	0.151295020464981	339	0.142718488931786	0.676598578043261	0.0650211575131025	0.0543616118704016	0.204255319148936	0.36222869407865	0.663546105120627	0.463117509841085	0.0659973682653263
cg23970028	2.87593426345431e-07	6.54085334978492e-08	1.09818376992695e-05	0.570559456150473	0.143531504887884	340	0.203362100115749	0.686272160259144	0.111600785871884	0.0538996809207121	0.170305676855895	0.499409170221983	0.584428754131594	0.421875	0.0727484279804606
cg20660269	-3.43166828427251e-07	7.83255827825737e-08	1.17980545656788e-05	0.570559456150473	0.40733324266898	338	0.168973282752679	0.736206239138755	0.0394876336160487	0.0584081048911122	0.21304347826087	0.407330548575859	0.556777431859482	0.438218927444898	0.027585124326118
cg19815325	1.93213521192708e-07	4.45163160156426e-08	1.42297709094459e-05	0.570559456150473	0.146037752618885	337	0.182945836714773	0.735983488624491	0.0875401029236173	0.0634984096995334	0.174468085106383	0.386198326791159	0.471694690934158	0.408411936490887	0.0349954826757127
