probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg18828306	1.00105421753241e-06	1.87735068800684e-07	9.69921741812919e-08	0.0367148356615412	0.83702192071164	210	0.0565228949587696	0.77745203397403	0.403208490696924	0.0642420840887724	0.186567164179104	0.0552670592771761	0.828783789774591	0.474217179692501	0.0394781856048889
cg15454195	-5.15644240739789e-08	1.05522626332028e-08	1.02605187886876e-06	0.131126253418136	0.115396719151053	210	0.0759099745478927	0.678256586359652	0.0630719821774183	0.0757418053334618	0.202453987730061	0.401904200837413	0.62551772152123	0.494997722459212	0.0463514804611645
cg10124011	-1.33243977310615e-07	2.75720060227826e-08	1.34773636913823e-06	0.131126253418136	0.148846438424851	210	0.0828654596697839	0.667967917269004	0.0307473561339913	0.0779142664825736	0.208333333333333	0.530115898159166	0.609007458358267	0.441048267240319	0.0226951471594335
cg26251069	1.55371786961415e-08	3.21938700045016e-09	1.39211980055828e-06	0.131126253418136	0.0220701703756435	209	0.0548224599664243	0.707467011035281	0.0428784585603085	0.0929815105579033	0.204819277108434	0.548896968323372	0.462256026658284	0.520393276896523	0.049151534425226
cg14493742	-5.32096280496385e-08	1.11261030981996e-08	1.73202741917682e-06	0.131126253418136	-0.200135775914954	207	0.0499507016718904	0.719114711402936	0.0468665454005964	0.0737193291339106	0.156862745098039	0.463677527815122	0.623472271788897	0.439549075645716	0.0199841157135299
cg16120833	6.32389795583376e-08	1.36393543736934e-08	3.54343998378715e-06	0.165474050350696	0.159657185554224	209	0.102736598224941	0.628904201181954	0.0768767777482996	0.0774092960190333	0.233128834355828	0.387914503608365	0.652148896158752	0.546376946300255	0.0024256181463156
cg12612527	2.62095294386755e-08	5.65962708318187e-09	3.63967107945302e-06	0.165474050350696	0.0459207290490169	209	0.049525275428811	0.711924528699395	0.0293997542154607	0.0873166355655485	0.235294117647059	0.504289682882055	0.533578525208509	0.434405133701404	0.0442149182527689
cg19471040	-5.69774879921183e-08	1.24096398522056e-08	4.4030510345385e-06	0.165474050350696	-0.230137515171954	209	0.0949633986022456	0.689628844017053	0.108609897388271	0.0739169619868991	0.179487179487179	0.429554832799501	0.47943801119153	0.509029020971366	0.0270118479171926
cg05385923	-3.60973902235619e-08	7.89084250792188e-09	4.77147400490272e-06	0.165474050350696	0.106288250458854	209	0.137762497769047	0.59254390367531	0.0945530856039309	0.0671217588525808	0.210191082802548	0.444200996821012	0.608952910752429	0.404956936739703	0.00327328631099847
cg07190903	-3.1932750220487e-08	7.00320453700162e-09	5.12184428171951e-06	0.165474050350696	0.110459448000125	209	0.148966382328748	0.671227740111925	0.0515178180374072	0.0706786876076325	0.20253164556962	0.477801984886835	0.577561708979038	0.462674617767334	0.0209708434352917
