probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg15062725	1.8503016744201e-06	3.65822331406578e-07	4.23844519799564e-07	0.193753518625133	0.118519201821919	376	0.0677232632152677	0.696505428388713	0.0321341141059283	0.045411978788746	0.20532319391635	0.337496249617133	0.679825180072323	0.464850200189433	0.0141928612632987
cg07727721	-3.36142798766581e-07	6.85598640176797e-08	9.44275638559812e-07	0.193753518625133	0.0376929592280982	376	0.0999431812646556	0.736702282928733	0.0550481926999146	0.0564269661536091	0.194756554307116	0.525340903854463	0.564304046516045	0.462155536344815	0.0239223427137037
cg07938763	-4.61290868329783e-07	9.648365884335e-08	1.74402920776202e-06	0.193753518625133	0.144086226765266	376	0.166334206383144	0.739132578784715	0.0325694355195176	0.0557394549940421	0.217213114754098	0.326767298412157	0.661358566014488	0.459337693530453	0.0234702267045258
cg12190125	-5.9986977818873e-07	1.28518977783388e-07	3.04800776958609e-06	0.193753518625133	-0.117798388315432	376	0.0953604986766237	0.69818269195998	0.0346778962701555	0.0543895261845386	0.214285714285714	0.425924198164951	0.590597750409366	0.499768441478917	0.00548693982757427
cg12498094	4.53870025186148e-07	9.73308695648032e-08	3.11381011868759e-06	0.193753518625133	0.165134816933039	372	0.063520402766301	0.683528509572485	0.038189221380307	0.0539203464457651	0.149193548387097	0.368852498154044	0.602509099583898	0.400500370888588	0.00700728304862506
cg09189258	4.61651484441697e-07	9.94664412385966e-08	3.46259568991486e-06	0.193753518625133	-0.051203234946512	370	0.116889799088931	0.643507031981456	0.0492613774849188	0.054641861212699	0.189922480620155	0.468636232204975	0.654299781681691	0.434282304729361	0.0213936575885511
cg05667256	-4.98303871283556e-07	1.07673532553962e-07	3.69366957687154e-06	0.193753518625133	0.0530449367699276	376	0.1314253029673	0.70211973648134	0.0808906292571368	0.0514449012637097	0.186770428015564	0.393154494213054	0.696691624026911	0.442687537692397	0.022352422872867
cg11401796	8.51969965567155e-06	1.84330810383478e-06	3.80128008571816e-06	0.193753518625133	0.836952703821659	376	0.505350273058758	0.773041004733939	0.262992983098862	0.0404293720224273	0.12707182320442	0.0673481300049354	0.726925430463603	0.412962445700856	0.0192272075141039
cg13375758	2.72164874017101e-07	5.89389200515888e-08	3.87933473158348e-06	0.193753518625133	0.0453118011042897	376	0.134497924293787	0.671143857766811	0.0887545680556794	0.0531550036355861	0.203921568627451	0.397846510055826	0.649656383142893	0.481252289165624	0.0601518966783952
cg23110422	7.32076464954678e-07	1.58782772852582e-07	4.01598319069786e-06	0.193753518625133	0.159446697242985	374	0.126477390371216	0.706952142572955	0.0973950001542741	0.0505430661556408	0.248	0.381829867896925	0.560941517179974	0.515719113845801	0.0183341290518578
